,index,營業收入_TTM,每股盈餘_TTM,每股盈餘_TTM_YoY,本益比平均數_TTM,本益比最小值
0,2012Q1,,,,,
1,2012Q2,,,,,
2,2012Q3,,,,,
3,2012Q4,506745.2,6.42,,,13.2
4,2013Q1,533885.4,6.66,,,14.6
5,2013Q2,561585.4,7.05,,,13.8
6,2013Q3,582663.2,7.15,,14.8,13.0
7,2013Q4,597024.2,7.26,13.08,14.8,13.8
8,2014Q1,612484.4,7.58,13.81,14.6,13.3
9,2014Q2,639618.5,7.88,11.77,14.6,14.7
10,2014Q3,686091.2,8.82,23.36,14.6,13.5
11,2014Q4,762806.5,10.18,40.22,14.2,11.6
12,2015Q1,836625.4,11.38,50.13,13.8,11.4
13,2015Q2,859044.7,12.14,54.06,13.0,11.4
14,2015Q3,862499.9,12.11,37.3,12.1,9.3
15,2015Q4,843497.4,11.82,16.11,11.8,11.0
16,2016Q1,824958.6,11.27,-0.97,11.9,11.6
17,2016Q2,841328.7,11.01,-9.31,12.5,13.0
18,2016Q3,889229.7,11.83,-2.31,13.5,13.6
19,2016Q4,947938.3,12.89,9.05,14.1,13.8
20,2017Q1,978357.4,13.77,22.18,14.2,13.0
21,2017Q2,970402.7,13.53,22.89,14.4,13.8
22,2017Q3,962104.2,13.27,12.17,14.8,15.5
23,2017Q4,977447.2,13.23,2.64,15.6,16.5
24,2018Q1,991611.5,13.31,-3.34,16.9,17.2
25,2018Q2,1011033.1,13.54,0.07,17.3,15.5
26,2018Q3,1019273.6,13.51,1.81,17.8,15.8
27,2018Q4,1031473.6,13.54,2.34,17.6,15.8
28,2019Q1,1002099.4,12.45,-6.46,17.6,16.6
29,2019Q2,1009821.0,12.23,-9.68,18.4,18.6
30,2019Q3,1042518.6,12.69,-6.07,19.0,18.9
31,2019Q4,1069985.4,13.32,-1.62,20.5,20.5
32,2020Q1,1161878.2,15.46,24.18,20.9,15.2
33,2020Q2,1231578.1,17.55,43.5,20.1,15.4
34,2020Q3,1294958.8,18.95,49.33,20.5,16.6
35,2020Q4,1339254.8,19.97,49.92,20.7,21.4
36,2021Q1,1391067.9,20.85,34.86,23.0,25.3
37,2021Q2,1452514.6,21.37,21.77,25.6,24.2
38,2021Q3,1510758.8,22.1,16.62,26.9,24.9
39,2021Q4,1587415.0,23.01,15.22,27.4,24.3
40,2022Q1,1716080.7,25.44,22.01,26.2,21.8
41,TTM,1566692.3,22.98,18.91,26.5,21.8
42,3Year,1332218.4,18.77,21.17,22.9,20.5
43,5Year,1201115.2,16.61,13.7,20.4,15.8
44,Quarterly,966358.8,13.16,16.33,17.4,11.0
